Category,Item,Serving Size,Weight (g),Calories,Total Fat (g),Saturated Fat (g),Trans Fat (g),Cholesterol (mg),Sodium (mg),Carbohydrates (g),Dietary Fiber (g),Sugars (g),Protein (g),Vitamin A (% DV),Vitamin C (% DV),Calcium (% DV),Iron (% DV)
Toppings,Mushrooms Medium,1 slice = 1/8 pizza,6,0,0,0,0.0,0,0,0,0,0,0.1,0,0,0,0
Toppings,Mushrooms Large,1 slice = 1/12 pizza,6,0,0,0,0.0,0,0,0,0,0,0.1,0,0,0,0
Toppings,Tomatoes,Per 1 Pizza,21,5,0,0,0,0,0,1,0,0,0.2,2,4,0,0
Toppings,Tomatoes Small,1 slice = 1/6 pizza,9,0,0,0,0.0,0,0,0,0,0,0.2,1,1,0,0
Toppings,Tomatoes Medium,1 slice = 1/8 pizza,11,0,0,0,0.0,0,0,0,0,0,0.1,1,2,0,0
Toppings,Tomatoes Large,1 slice = 1/12 pizza,10,0,0,0,0.0,0,0,0,0,0,0.1,1,1,0,0
Toppings,Black Olives,Per 1 Pizza,9,25,1.5,0.2,0,0,140,1,1,0.2,0.2,0,0,0,0
Toppings,Black Olives Small,1 slice = 1/6 pizza,2,5,0,0,0.0,0,37,0,0,0,0.1,0,0,0,0
Toppings,Black Olives Medium,1 slice = 1/8 pizza,3,10,1,0,0.0,0,53,0,0,0,0.1,0,0,0,0
Toppings,Black Olives Large,1 slice = 1/12 pizza,3,10,1,0,0.0,0,53,0,0,0,0.1,0,0,0,0
Toppings,Green Olives,Per 1 Pizza,9,15,1.5,0.2,0,0,150,0,0,0,0.1,0,0,0,0
Toppings,Green Olives Small,1 slice = 1/6 pizza,2,5,0,0,0.0,0,38,0,0,0,0.0,0,0,0,0
Toppings,Green Olives Medium,1 slice = 1/8 pizza,3,5,1,0,0.0,0,55,0,0,0,0.0,0,0,0,0
Toppings,Green Olives Large,1 slice = 1/12 pizza,3,5,1,0,0.0,0,56,0,0,0,0.0,0,0,0,0
Toppings,Hot Peppers,Per 1 Pizza,22,5,0,0,0,0,350,1,0,0,0,0,0,0,0
Toppings,Hot Peppers Small,1 slice = 1/6 pizza,7,0,0,0,0.0,0,110,0,0,0,0.0,0,0,0,0
Toppings,Hot Peppers Medium,1 slice = 1/8 pizza,9,0,0,0,0.0,0,141,0,0,0,0.0,0,0,0,0
Toppings,Hot Peppers Large,1 slice = 1/12 pizza,8,0,0,0,0.0,0,133,0,0,0,0.0,0,0,0,0
Toppings,Pineapple,Per 1 Pizza,30,20,0,0,0,0,0,5,0,5,0.2,0,0,0,0
Toppings,Pineapple Small,1 slice = 1/6 pizza,10,10,0,0,0.0,0,0,2,0,2,0.1,0,0,0,0
Toppings,Pineapple Medium,1 slice = 1/8 pizza,12,10,0,0,0.0,0,0,2,0,2,0.1,0,0,0,0
Toppings,Pineapple Large,1 slice = 1/12 pizza,10,10,0,0,0.0,0,0,2,0,2,0.1,0,0,0,0
Toppings,Spinach,Per 1 Pizza,6,0,0,0,0,0,3,0,0,0,0.1,0,0,0,0
