Category,Item,Peanuts,Tree Nuts,Sesame,Milk,Eggs,Fish,Crustaceans,Shellfish,Soy,Wheat,Mustard,Sulphites,Gluten
BREAKFAST PIZZA,HAM & BACON,,,,C,C,,,,C,C,MC,,CC
BREAKFAST PIZZA,VEGGIE,,,,C,C,,,,C,C,,MC,
DESSERTS,CHOCOLATE LAVA CRUNCH CAKE,MC,MC,MC,C,C,,,,C,C,MC,,C
DESSERTS,MARBLED COOKIE BROWNIE,,,,C,C,,,,C,C,,,C
DESSERTS,CINNA BITES,,,MC,C,MC,,,,C,C,,,C
