Item Name,Source URL,Serving Size,Calories,Total Fat (g),Saturated Fat (g),Trans Fat (g),Cholesterol (mg),Sodium (mg),Carbohydrates (g),Fibre (g),Sugars (g),Protein (g),Potassium (mg),Calcium (% DV),Iron (% DV),Vitamin A (% DV),Vitamin C (% DV),Vitamin D (% DV),Contains Allergens,May Contain Allergens
Spicy Egg & Hash Brown Breakfast Wrap,https://www.mcdonalds.com/ca/en-ca/product/spicy-egg-hash-brown-breakfast-wrap.html,265 g,630 Cals,39 g,10 g,0.3 g,210 mg,1060 mg,54 g,4 g,5 g,17 g,650 mg,13,22,11,,0,"Egg, Milk, Mustard, Soy, Wheat",
Chicken Breakfast Wrap,https://www.mcdonalds.com/ca/en-ca/product/chicken-hash-brown-breakfast-wrap.html,239 g,680 Cals,42 g,10 g,0.4 g,50 mg,1200 mg,60 g,4 g,3 g,17 g,850 mg,10,19,0,,0,"Egg, Milk, Mustard, Soy, Wheat",
"Sausage, Bacon & Egg Breakfast Wrap",https://www.mcdonalds.com/ca/en-ca/product/sausage-bacon-egg-breakfast-wrap.html,250 g,800 Cals,54 g,16 g,0.5 g,250 mg,1500 mg,53 g,3 g,4 g,26 g,650 mg,12,19,0,,0,"Egg, Milk, Mustard, Soy, Wheat",
Egg 'N Cheese McMuffin,https://www.mcdonalds.com/ca/en-ca/product/egg-n-cheese-mcmuffin.html,120 g,280 Cals,12 g,5 g,0.2 g,200 mg,510 mg,28 g,2 g,2 g,14 g,125 mg,15,14,0,,0,"Barley, Egg, Milk, Soy, Wheat",
Egg 'N Cheese McGriddles,https://www.mcdonalds.com/ca/en-ca/product/egg-n-cheese-mcgriddles.html,154 g,340 Cals,14 g,7 g,0.2 g,195 mg,920 mg,41 g,1 g,14 g,12 g,150 mg,13,13,0,,0,"Barley, Egg, Milk, Soy, Wheat",
Egg BLT McMuffin,https://www.mcdonalds.com/ca/en-ca/product/egg-blt-mcmuffin.html,154 g,360 Cals,19 g,7 g,0.3 g,205 mg,700 mg,29 g,2 g,3 g,16 g,175 mg,15,14,6,,0,"Barley, Egg, Milk, Mustard, Soy, Wheat",
Egg BLT McMuffin with Shredded Lettuce (McDonald’s in Walmart),https://www.mcdonalds.com/ca/en-ca/product/egg-blt-mcmuffin-with-shredded-lettuce.html,165 g,360 Cals,19 g,7 g,0.3 g,205 mg,700 mg,30 g,2 g,3 g,16 g,200 mg,15,14,11,,0,"Barley, Egg, Milk, Mustard, Soy, Wheat",
Chicken McMuffin,https://www.mcdonalds.com/ca/en-ca/product/chicken-mcmuffin.html,125 g,360 Cals,18 g,6 g,0.2 g,45 mg,730 mg,35 g,2 g,2 g,14 g,400 mg,13,14,0,,0,"Barley, Egg, Milk, Mustard, Soy, Wheat",
Egg McMuffin,https://www.mcdonalds.com/ca/en-ca/product/egg-mcmuffin.html,133 g,290 Cals,11 g,5 g,0.2 g,195 mg,750 mg,28 g,2 g,3 g,16 g,175 mg,15,14,0,,0,"Barley, Egg, Milk, Soy, Wheat",
Sausage 'N Egg McMuffin,https://www.mcdonalds.com/ca/en-ca/product/sausage-n-egg-mcmuffin.html,158 g,440 Cals,26 g,11 g,0.3 g,225 mg,880 mg,29 g,2 g,3 g,20 g,225 mg,15,14,0,,0,"Barley, Egg, Milk, Soy, Wheat",
Bacon 'N Egg McMuffin,https://www.mcdonalds.com/ca/en-ca/product/bacon-n-egg-mcmuffin.html,124 g,310 Cals,15 g,6 g,0.2 g,200 mg,670 mg,28 g,2 g,3 g,16 g,125 mg,15,14,0,,0,"Barley, Egg, Milk, Soy, Wheat",
