Item Name,Source URL,Serving Size,Calories,Total Fat (g),Saturated Fat (g),Trans Fat (g),Cholesterol (mg),Sodium (mg),Carbohydrates (g),Fibre (g),Sugars (g),Protein (g),Potassium (mg),Calcium (% DV),Iron (% DV),Vitamin A (% DV),Vitamin C (% DV),Vitamin D (% DV),Contains Allergens,May Contain Allergens
Ranch Chicken Snack Wrap with Grilled Chicken,https://www.mcdonalds.com/ca/en-ca/product/ranch-chicken-snack-wrap-grilled-for-relaunch.html,124 g,260 Cals,11 g,4.5 g,0.1 g,55 mg,420 mg,22 g,1 g,1 g,18 g,100 mg,8,10,0,,0,"Egg, Milk, Wheat",
Ranch Chicken Snack Wrap with Crispy Chicken,https://www.mcdonalds.com/ca/en-ca/product/ranch-chicken-snack-wrap-crispy-for-relaunch.html,132 g,320 Cals,16 g,5 g,0.2 g,40 mg,510 mg,28 g,1 g,2 g,17 g,250 mg,8,10,0,,0,"Egg, Milk, Wheat",
Strawberry Cheesecake McFlurry,https://www.mcdonalds.com/ca/en-ca/product/strawberry-cheesecake-mcflurry-regular.html,355 ml,730 Cals,22 g,12 g,0.5 g,40 mg,330 mg,123 g,1 g,94 g,11 g,75 mg,19,11,11,,0,"Milk, Wheat",
Strawberry Sundae,https://www.mcdonalds.com/ca/en-ca/product/sundae-strawberry.html,175 ml,310 Cals,6 g,4 g,0.2 g,25 mg,140 mg,58 g,1 g,52 g,5 g,40 mg,12,1,6,,0,Milk,
Baked Blueberry Cream Cheese Pie,https://www.mcdonalds.com/ca/en-ca/product/Baked-Blueberry-Cream-Cheese-Pie.html,71 g,270 Cals,15 g,8 g,0.1 g,5 mg,140 mg,31 g,1 g,11 g,3 g,50 mg,0,6,0,,0,"Milk, Soy, Wheat",
Cadbury Creme Egg® McFlurry,https://www.mcdonalds.com/ca/en-ca/product/cadbury-creme-egg-mcflurry-regular.html,301 g,630 Cals,20 g,13 g,0.4 g,50 mg,270 mg,101 g,1 g,84 g,12 g,0 mg,27,10,11,,0,"Milk, Soy",
Hot Fudge Sundae,https://www.mcdonalds.com/ca/en-ca/product/sundae-hot-fudge.html,175 ml,340 Cals,10 g,8 g,0.2 g,25 mg,230 mg,55 g,1 g,47 g,7 g,150 mg,15,10,6,,0,"Milk, Soy",
Hot Caramel Sundae,https://www.mcdonalds.com/ca/en-ca/product/sundae-hot-caramel.html,175 ml,340 Cals,7 g,4.5 g,0.3 g,30 mg,230 mg,62 g,0 g,44 g,6 g,40 mg,13,1,6,,0,Milk,
OREO® McFlurry,https://www.mcdonalds.com/ca/en-ca/product/mcflurry-oreo-regular-size-portion.html,355 ml,570 Cals,19 g,12 g,0.4 g,40 mg,410 mg,90 g,1 g,68 g,11 g,0 mg,19,11,11,,0,"Milk, Soy, Wheat",
SKOR® McFlurry,https://www.mcdonalds.com/ca/en-ca/product/mcflurry-dessert-crushed-skor-candy-bars-regular-size-portion.html,355 ml,540 Cals,21 g,13 g,0.5 g,55 mg,340 mg,81 g,0 g,71 g,10 g,50 mg,23,3,11,,0,"Milk, Soy, Tree Nuts",
SMARTIES® McFlurry,https://www.mcdonalds.com/ca/en-ca/product/smarties-mcflurry-regular-size-portion.html,355 ml,600 Cals,17 g,11 g,0.4 g,50 mg,290 mg,99 g,1 g,87 g,12 g,0 mg,27,6,11,,0,"Milk, Soy, Wheat",
Yogurt Tube,https://www.mcdonalds.com/ca/en-ca/product/strawberry-flavoured-yogurt-tube.html,30 g,25 Cals,0 g,0 g,0 g,0 mg,10 mg,4 g,0 g,3 g,1 g,40 mg,2,0,0,,1,Milk,
Baked Apple Pie,https://www.mcdonalds.com/ca/en-ca/product/baked-apple-pie.html,79 g,270 Cals,13 g,9 g,0.1 g,0 mg,135 mg,34 g,1 g,10 g,3 g,75 mg,0,17,0,,0,"Soy, Wheat",
Grilled Cheese Happy Meal,https://www.mcdonalds.com/ca/en-ca/meal/grilled-cheese-happy-meal.html,426 g,410 Cals,12.5 g,7.5 g,0.3 g,30 mg,732 mg,53 g,3 g,27 g,20.1 g,590 mg,,,,,,"Milk, Sesame Seeds, Soy, Wheat",
Lettuce and Tomato Snack Wrap Happy Meal,https://www.mcdonalds.com/ca/en-ca/meal/lettuce-and-tomato-snack-wrap-happy-meal.html,431 g,340 Cals,9.5 g,4 g,0 g,15 mg,292 mg,47 g,2 g,23 g,14.1 g,615 mg,,,,,,"Egg, Milk, Mustard, Wheat",
4 Chicken McNuggets Happy Meal,https://www.mcdonalds.com/ca/en-ca/meal/4-chicken-mcnuggets-happy-meal.html,412 ml,340 Cals,11.5 g,3 g,0 g,40 mg,432 mg,35 g,1 g,22 g,20.1 g,515 mg,,,,,,"Milk, Wheat",
Cheeseburger Happy Meal,https://www.mcdonalds.com/ca/en-ca/meal/hm-cheeseburger.html,536 g,700 Cals,25.5 g,8 g,0.3 g,45 mg,982 mg,88 g,6 g,29 g,27.1 g,1115 mg,,,,,,"Milk, Mustard, Soy, Wheat",
Hamburger Happy Meal,https://www.mcdonalds.com/ca/en-ca/meal/hamburger-happy-meal.html,448 g,410 Cals,10.5 g,4.5 g,0.2 g,35 mg,622 mg,57 g,3 g,29 g,22.1 g,690 mg,,,,,,"Milk, Mustard, Wheat",
Chicken Snack Wrap Happy Meal with Crispy Chicken,https://www.mcdonalds.com/ca/en-ca/meal/snack-wrap-crispy-happy-meal.html,466 g,460 Cals,16.5 g,5 g,0.1 g,40 mg,542 mg,52 g,2 g,23 g,24.1 g,740 mg,,,,,,"Egg, Milk, Mustard, Wheat",
Chicken Snack Wrap Happy Meal with Grilled Chicken,https://www.mcdonalds.com/ca/en-ca/meal/snack-wrap-with-grilled-chicken-happy-meal.html,458 g,390 Cals,11.5 g,4.5 g,0.1 g,55 mg,452 mg,46 g,2 g,22 g,25.1 g,590 mg,,,,,,"Egg, Milk, Mustard, Wheat",
Hotcakes Happy Meal,https://www.mcdonalds.com/ca/en-ca/meal/hotcakes-happy-meal.html,501 g,520 Cals,11.5 g,3 g,0 g,30 mg,732 mg,85 g,4 g,36 g,18.1 g,765 mg,,,,,,"Egg, Milk, Soy, Wheat",
Biscoff® McPops,https://www.mcdonalds.com/ca/en-ca/product/biscoff-mcpops.html,25 g,120 Cals,7 g,3 g,0 g,5 mg,75 mg,12 g,0 g,6 g,2 g,20 mg,0,1,0,,0,"Egg, Milk, Soy, Wheat",
Berry McPops,https://www.mcdonalds.com/ca/en-ca/product/berry-mcpops.html,25 g,90 Cals,4.5 g,2 g,0 g,10 mg,65 mg,11 g,1 g,4 g,1 g,30 mg,0,3,0,,0,"Egg, Milk, Wheat",
White Chocolate McPops,https://www.mcdonalds.com/ca/en-ca/product/white-chocolate-mcpops.html,25 g,120 Cals,6 g,2.5 g,0 g,10 mg,70 mg,13 g,0 g,6 g,2 g,40 mg,2,3,0,,0,"Egg, Gluten, Milk, Soy, Wheat",
Hazelnut & Cocoa McPops,https://www.mcdonalds.com/ca/en-ca/product/hazelnut-cocoa-mcpops.html,25 g,120 Cals,6 g,2 g,0 g,10 mg,75 mg,12 g,0 g,6 g,2 g,50 mg,2,4,0,,0,"Egg, Gluten, Milk, Soy, Tree Nuts",
Fruit & Fibre Muffin,https://www.mcdonalds.com/ca/en-ca/product/fruit-fibre-muffin.html,123 g,380 Cals,14 g,1.5 g,0 g,0 mg,480 mg,60 g,6 g,31 g,7 g,300 mg,4,14,0,,0,"Egg, Milk, Oat, Soy, Wheat",
Chocolate Brownie Muffin,https://www.mcdonalds.com/ca/en-ca/product/chocolate-brownie-muffin.html,125 g,380 Cals,15 g,3 g,0.1 g,0 mg,360 mg,57 g,3 g,33 g,6 g,300 mg,4,19,0,,0,"Egg, Milk, Soy, Wheat",
Blueberry Muffin,https://www.mcdonalds.com/ca/en-ca/product/blueberry-muffin.html,122 g,430 Cals,17 g,1.5 g,0 g,0 mg,360 mg,66 g,3 g,31 g,7 g,0 mg,4,10,0,,0,"Egg, Milk, Oat, Soy, Wheat",
Carrot Muffin,https://www.mcdonalds.com/ca/en-ca/product/carrot-muffin.html,130 g,440 Cals,16 g,1.5 g,0 g,0 mg,370 mg,70 g,2 g,37 g,7 g,200 mg,4,11,22,,0,"Egg, Milk, Oat, Soy, Wheat",
Cranberry Orange Muffin,https://www.mcdonalds.com/ca/en-ca/product/cranberry-orange-muffin-201057.html,124 g,380 Cals,9 g,1.5 g,0 g,0 mg,410 mg,71 g,2 g,37 g,5 g,150 mg,4,13,0,,0,"Egg, Milk, Soy, Wheat",
Chocolate Chip Muffin,https://www.mcdonalds.com/ca/en-ca/product/chocolate-chip-muffin.html,125 g,440 Cals,14 g,3 g,1 g,5 mg,330 mg,71 g,3 g,38 g,8 g,175 mg,6,17,0,,0,"Egg, Milk, Soy, Wheat",
McVeggie,https://www.mcdonalds.com/ca/en-ca/product/mcveggie.html,186 g,470 Cals,22 g,3 g,0.2 g,10 mg,710 mg,55 g,5 g,9 g,11 g,350 mg,4,19,0,,0,"Egg, Mustard, Oat, Sesame Seeds, Soy, Wheat",
Spicy McVeggie,https://www.mcdonalds.com/ca/en-ca/product/spicy-mcveggie.html,190 g,450 Cals,20 g,2.5 g,0.1 g,10 mg,740 mg,56 g,6 g,9 g,11 g,350 mg,4,22,0,,0,"Egg, Mustard, Oat, Sesame Seeds, Soy, Wheat",
Filet-O-Fish,https://www.mcdonalds.com/ca/en-ca/product/filet-o-fish.html,138 g,400 Cals,20 g,4 g,0.2 g,40 mg,570 mg,40 g,1 g,5 g,14 g,250 mg,4,13,0,,0,"Egg, Fish, Milk, Mustard, Soy, Wheat",
Double Filet-O-Fish,https://www.mcdonalds.com/ca/en-ca/product/double-filet-o-fish.html,210 g,560 Cals,29 g,6 g,0.3 g,70 mg,820 mg,53 g,1 g,5 g,23 g,450 mg,8,14,0,,0,"Egg, Fish, Milk, Mustard, Soy, Wheat",
Chicken Snack Wrap Happy Meal with Grilled Chicken,https://www.mcdonalds.com/ca/en-ca/product/happy-meal-snack-wrap-grilled.html,110 g,220 Cals,9 g,3 g,0.1 g,45 mg,320 mg,21 g,1 g,0 g,15 g,75 mg,0,10,0,,0,"Egg, Mustard, Wheat",
Ramyeon McShaker Fries,https://www.mcdonalds.com/ca/en-ca/product/ramyeon-mcshaker-fries.html,120 g,380 Cals,18 g,2.5 g,0.2 g,0 mg,660 mg,51 g,4 g,2 g,5 g,600 mg,2,6,0,,0,"Barley, Sesame Seeds, Soy, Wheat",
Chewy Chocolate Chunk Cookie,https://www.mcdonalds.com/ca/en-ca/product/chewy-chocolate-chunk-cookie.html,54 g,250 Cals,11 g,6 g,0 g,15 mg,150 mg,35 g,1 g,22 g,3 g,75 mg,2,14,0,,0,"Barley, Egg, Milk, Soy, Wheat",
Rainbow Sprinkle Cookie,https://www.mcdonalds.com/ca/en-ca/product/rainbow-sprinkle-cookie.html,55 g,250 Cals,10 g,6 g,0 g,15 mg,170 mg,36 g,1 g,23 g,3 g,50 mg,2,6,0,,0,"Barley, Egg, Milk, Soy, Wheat",
Toasted S’mores Cookie,https://www.mcdonalds.com/ca/en-ca/product/toasted-smores-cookie.html,55 g,240 Cals,10 g,4.5 g,0 g,15 mg,210 mg,36 g,1 g,21 g,3 g,75 mg,2,8,0,,0,"Barley, Egg, Milk, Soy, Wheat",
Apple Slices,https://www.mcdonalds.com/ca/en-ca/product/apple-slices.html,68 g,35 Cals,0 g,0 g,0 g,0 mg,2 mg,9 g,1 g,7 g,0.1 g,75 mg,2,1,0,,0,,
World Famous Fries,https://www.mcdonalds.com/ca/en-ca/product/french-fries-medium.html,110 g,350 Cals,17 g,2 g,0.2 g,0 mg,260 mg,46 g,4 g,0 g,4 g,550 mg,2,4,0,,0,,
Mini Fry,https://www.mcdonalds.com/ca/en-ca/product/mini-fry.html,38 g,120 Cals,6 g,0.5 g,0 g,0 mg,90 mg,16 g,1 g,0 g,1 g,200 mg,0,2,0,,0,,
Poutine,https://www.mcdonalds.com/ca/en-ca/product/poutine.html,254 g,870 Cals,37 g,13 g,1 g,60 mg,3170 mg,113 g,5 g,9 g,21 g,1050 mg,38,11,0,,0,Milk,
