Category,Pizza Size,Crust/Item,Component Type,Component Name,Serving Size,Weight (g),Calories,Calories from Fat,Fat (g),Saturated Fat (g),Trans Fat (g),Cholesterol (mg),Sodium (mg),Carbohydrates (g),Fiber (g),Total Sugars (g),Protein (g)
Large,Large,New York Style,Sauce,Hearty Marinara Sauce,per serving,28,15,0,0,0,0,0,180,3,1,2,1
Large,Large,New York Style,Sauce,Ranch,per serving,19,90,90,10,1.5,0,5,180,1,0,1,0
Large,Large,New York Style,Sauce,Donair Sauce*,per serving,28,45,5,0,0,0,0,20,10,0,8,1
Large,Large,New York Style,Cheese Only,Light Cheese,per serving,24,70,45,5,3,0,15,160,1,0,0,6
Large,Large,New York Style,Cheese Only,Regular Cheese,per serving,50,150,90,10,7,0,35,330,1,0,0,13
Large,Large,New York Style,Cheese Only,Extra Cheese,per serving,66,200,120,14,9,0,45,440,2,0,0,17
Large,Large,New York Style,Cheese Only,Double Cheese,per serving,66,200,120,14,9,0,45,440,2,0,0,17
Large,Large,New York Style,Cheese Only,Triple Cheese,per serving,83,250,150,17,11,0,55,550,2,0,0,21
Large,Large,New York Style,Cheese With Toppings,Light Cheese,per serving,24,70,45,5,3,0,15,160,1,0,0,6
Large,Large,New York Style,Cheese With Toppings,Regular Cheese,per serving,33,100,60,7,4.5,0,25,220,1,0,0,8
Large,Large,New York Style,Cheese With Toppings,Extra Cheese,per serving,50,150,90,10,7,0,35,330,1,0,0,13
Large,Large,New York Style,Cheese With Toppings,Double Cheese,per serving,66,200,120,14,9,0,45,440,2,0,0,17
Large,Large,New York Style,Cheese With Toppings,Triple Cheese,per serving,83,250,150,17,11,0,55,550,2,0,0,21
Large,Large,New York Style,1-Topping,Bacon Strip Crumble,per serving,14,60,35,4,1.5,0,15,260,1,0,0,5
Large,Large,New York Style,1-Topping,Banana Peppers,per serving,14,5,0,0,0,0,0,210,1,0,0,0
Large,Large,New York Style,1-Topping,Beef Crumble,per serving,24,80,60,7,3,0,20,260,0,0,0,3
Large,Large,New York Style,1-Topping,Black Olives,per serving,14,25,20,2,0,0,0,115,1,0,0,0
Large,Large,New York Style,1-Topping,Cheddar Cheese,per serving,12,45,35,3.5,2.5,0,10,95,0,0,0,3
Large,Large,New York Style,1-Topping,Chicken,per serving,26,30,10,1,0,0,20,100,1,0,0,5
Large,Large,New York Style,1-Topping,Feta Cheese,per serving,11,30,20,2,1.5,0,5,150,0,0,0,2
Large,Large,New York Style,1-Topping,Green Peppers,per serving,14,5,0,0,0,0,0,0,1,0,0,0
Large,Large,New York Style,1-Topping,Ham,per serving,21,20,5,0.5,0,0,10,230,1,0,0,3
Large,Large,New York Style,1-Topping,Jalapeno Peppers,per serving,14,0,0,0,0,0,0,220,0,0,0,0
Large,Large,New York Style,1-Topping,Mushrooms,per serving,24,5,0,0,0,0,0,0,1,0,0,1
Large,Large,New York Style,1-Topping,Onions,per serving,14,5,0,0,0,0,0,0,1,0,1,0
Large,Large,New York Style,1-Topping,Pepperoni,per serving,12,50,40,4.5,2,0,10,220,0,0,0,3
Large,Large,New York Style,1-Topping,Extra-Large Pepperoni,per serving,15,70,60,7,2.5,0,15,250,0,0,0,3
Large,Large,New York Style,1-Topping,Philly Steak,per serving,17,25,10,1.5,0.5,0,10,190,1,0,0,2
Large,Large,New York Style,1-Topping,Pineapple,per serving,24,15,0,0,0,0,0,0,4,0,4,0
Large,Large,New York Style,1-Topping,Provolone Cheese,per serving,12,40,25,3,2,0,10,55,0,0,0,3
Large,Large,New York Style,1-Topping,Roasted Red Pepper,per serving,14,5,0,0,0,0,0,0,1,0,0,0
Large,Large,New York Style,1-Topping,Salami,per serving,31,80,60,6,2.5,0,20,350,2,0,0,4
Large,Large,New York Style,1-Topping,Sausage,per serving,24,70,50,6,2,0,15,320,1,0,0,3
Large,Large,New York Style,1-Topping,Shredded Parmesan Asiago,per serving,9,40,25,3,2,0,10,150,0,0,0,3
Large,Large,New York Style,1-Topping,Spinach,per serving,7,0,0,0,0,0,0,5,0,0,0,0
Large,Large,New York Style,1-Topping,Tomatoes,per serving,19,5,0,0,0,0,0,0,1,0,0,0
Large,Large,New York Style,1-Topping,White Processed Cheddar Cheese,per serving,17,60,40,4.5,3,0,15,240,1,0,0,3
Large,Large,New York Style,1-Topping,Donair Meat*,per serving,79,210,130,14,5,1,40,710,9,0,0,10
Large,Large,New York Style,1-Topping,Green Olives*,per serving,14,15,10,1,0,0,0,230,1,0,0,0
XLarge,XLarge,Hand Tossed,Crust,Hand Tossed,1/10 of pizza,64,170,25,2.5,0,0,0,180,31,1,1,5
XLarge,XLarge,Hand Tossed,Sauce,Pizza Sauce,per serving,28,15,0,0,0,0,0,100,3,1,1,1
XLarge,XLarge,Hand Tossed,Sauce,Alfredo Sauce,per serving,14,35,30,3,2,0,10,85,1,0,0,1
XLarge,XLarge,Hand Tossed,Sauce,BBQ Sauce,per serving,14,25,0,0,0,0,0,180,6,0,5,0
XLarge,XLarge,Hand Tossed,Sauce,Garlic Parmesan White Sauce,per serving,14,60,60,6,1,0,5,135,1,0,0,0
XLarge,XLarge,Hand Tossed,Sauce,Hearty Marinara Sauce,per serving,23,10,0,0,0,0,0,140,2,0,2,0
XLarge,XLarge,Hand Tossed,Sauce,Ranch,per serving,14,70,60,7,1,0,5,120,1,0,1,0
XLarge,XLarge,Hand Tossed,Sauce,Donair Sauce*,per serving,23,35,0,0,0,0,0,15,8,0,7,0
XLarge,XLarge,Hand Tossed,Cheese Only,Light Cheese,per serving,18,50,30,3.5,2.5,0,10,110,1,0,0,4
XLarge,XLarge,Hand Tossed,Cheese Only,Regular Cheese,per serving,38,110,70,7,5,0,25,230,2,0,0,9
XLarge,XLarge,Hand Tossed,Cheese Only,Extra Cheese,per serving,51,150,90,10,6,0,35,300,2,1,0,12
XLarge,XLarge,Hand Tossed,Cheese Only,Double Cheese,per serving,51,150,90,10,6,0,35,300,2,1,0,12
XLarge,XLarge,Hand Tossed,Cheese Only,Triple Cheese,per serving,64,180,110,12,8,0,40,380,3,1,0,15
XLarge,XLarge,Hand Tossed,Cheese With Toppings,Light Cheese,per serving,18,50,30,3.5,2.5,0,10,110,1,0,0,4
XLarge,XLarge,Hand Tossed,Cheese With Toppings,Regular Cheese,per serving,26,70,45,5,3,0,15,150,1,0,0,6
XLarge,XLarge,Hand Tossed,Cheese With Toppings,Extra Cheese,per serving,38,110,70,7,5,0,25,230,2,0,0,9
XLarge,XLarge,Hand Tossed,Cheese With Toppings,Double Cheese,per serving,51,150,90,10,6,0,35,300,2,1,0,12
XLarge,XLarge,Hand Tossed,Cheese With Toppings,Triple Cheese,per serving,64,180,110,12,8,0,40,380,3,1,0,15
XLarge,XLarge,Hand Tossed,1-Topping,White Processed Cheddar Cheese,per serving,13,40,30,3,2,0,10,250,1,0,0,2
XLarge,XLarge,Hand Tossed,1-Topping,Bacon Strip Crumble,per serving,13,50,30,3.5,1,0,10,230,1,0,0,5
XLarge,XLarge,Hand Tossed,1-Topping,Beef Crumble,per serving,18,60,45,5,2,0,15,140,0,0,0,3
XLarge,XLarge,Hand Tossed,1-Topping,Black Olives,per serving,11,15,15,1.5,0,0,0,0,0,0,0,0
XLarge,XLarge,Hand Tossed,1-Topping,Cheddar Cheese,per serving,10,40,30,3.5,2,0,10,70,0,0,0,2
XLarge,XLarge,Hand Tossed,1-Topping,Chicken,per serving,18,20,0,0,0,0,10,100,1,0,0,4
XLarge,XLarge,Hand Tossed,1-Topping,Feta Cheese,per serving,7,20,15,1.5,1,0,5,115,0,0,0,1
XLarge,XLarge,Hand Tossed,1-Topping,Green Peppers,per serving,11,0,0,0,0,0,0,0,1,0,0,0
XLarge,XLarge,Hand Tossed,1-Topping,Ham,per serving,17,20,5,0.5,0,0,10,220,0,0,0,3
XLarge,XLarge,Hand Tossed,1-Topping,Banana Peppers,per serving,11,0,0,0,0,0,0,170,0,0,0,0
XLarge,XLarge,Hand Tossed,1-Topping,Jalapeño Peppers,per serving,11,0,0,0,0,0,0,200,0,0,0,0
XLarge,XLarge,Hand Tossed,1-Topping,Mushrooms,per serving,18,0,0,0,0,0,0,0,1,0,0,1
XLarge,XLarge,Hand Tossed,1-Topping,Onions,per serving,11,0,0,0,0,0,0,0,1,0,0,0
XLarge,XLarge,Hand Tossed,1-Topping,Pepperoni,per serving,10,45,35,4,1.5,0,10,180,0,0,0,2
XLarge,XLarge,Hand Tossed,1-Topping,Extra-Large Pepperoni,per serving,5,35,4,1.5,0,10,160,0,0,0,2,2
XLarge,XLarge,Hand Tossed,1-Topping,Philly Steak,per serving,14,20,10,1,0,0,5,160,1,0,0,2
XLarge,XLarge,Hand Tossed,1-Topping,Pineapple,per serving,18,15,0,0,0,0,0,0,3,0,3,0
XLarge,XLarge,Hand Tossed,1-Topping,Provolone Cheese,per serving,10,30,20,2.5,1.5,0,10,45,1,0,0,2
XLarge,XLarge,Hand Tossed,1-Topping,Roasted Red Pepper,per serving,11,0,0,0,0,0,0,15,0,0,0,0
XLarge,XLarge,Hand Tossed,1-Topping,Salami,per serving,22,60,35,4,2,0,10,260,2,0,0,4
XLarge,XLarge,Hand Tossed,1-Topping,Sausage,per serving,18,50,40,4.5,1.5,0,15,25,1,0,0,3
XLarge,XLarge,Hand Tossed,1-Topping,Shredded Parmesan Asiago,per serving,7,25,15,2,1,0,5,60,1,0,0,2
XLarge,XLarge,Hand Tossed,1-Topping,Tomatoes,per serving,15,0,0,0,0,0,0,0,1,0,0,0
XLarge,XLarge,Hand Tossed,1-Topping,Donair Meat*,per serving,59,150,80,9,3.5,0,40,530,7,0,0,8
XLarge,XLarge,Hand Tossed,1-Topping,Green Olive*,per serving,11,10,10,1,0,0,0,180,1,0,0,0
XLarge,XLarge,New York Style,Crust,New York Style,1/6 of pizza,81,210,30,3.5,0,0,0,220,39,2,1,7
XLarge,XLarge,New York Style,Sauce,Pizza Sauce,per serving,38,20,0,0,0,0,0,135,4,1,2,1
XLarge,XLarge,New York Style,Sauce,Alfredo Sauce,per serving,24,50,40,4.5,3,0,15,150,1,0,0,1
XLarge,XLarge,New York Style,Sauce,BBQ Sauce,per serving,21,40,5,0,0,0,0,280,8,0,7,0
XLarge,XLarge,New York Style,Sauce,Garlic Parmesan White Sauce,per serving,24,110,100,11,2,0,5,210,2,0,0,1
XLarge,XLarge,New York Style,Sauce,Hearty Marinara Sauce,per serving,38,20,0,0,0,0,0,240,4,1,3,1
XLarge,XLarge,New York Style,Sauce,Ranch,per serving,24,120,110,12,2,0,5,230,1,0,1,0
XLarge,XLarge,New York Style,Sauce,Donair Sauce*,per serving,38,60,5,0,0,0,0,30,13,0,11,1
XLarge,XLarge,New York Style,Cheese Only,Light Cheese,per serving,31,90,60,6,4,0,20,200,1,0,0,8
XLarge,XLarge,New York Style,Cheese Only,Regular Cheese,per serving,64,190,120,13,9,0,45,420,2,0,0,16
XLarge,XLarge,New York Style,Cheese Only,Extra Cheese,per serving,85,250,160,17,11,0,60,570,2,0,0,22
XLarge,XLarge,New York Style,Cheese Only,Double Cheese,per serving,85,250,160,17,11,0,60,570,2,0,0,22
XLarge,XLarge,New York Style,Cheese Only,Triple Cheese,per serving,106,320,200,22,14,0.5,75,710,3,0,0,27
XLarge,XLarge,New York Style,Cheese With Toppings,Light Cheese,per serving,31,90,60,6,4,0,20,200,1,0,0,8
XLarge,XLarge,New York Style,Cheese With Toppings,Regular Cheese,per serving,43,130,80,9,6,0,30,280,1,0,0,11
XLarge,XLarge,New York Style,Cheese With Toppings,Extra Cheese,per serving,64,190,120,13,9,0,45,420,2,0,0,16
XLarge,XLarge,New York Style,Cheese With Toppings,Double Cheese,per serving,85,250,160,17,11,0,60,570,2,0,0,22
XLarge,XLarge,New York Style,Cheese With Toppings,Triple Cheese,per serving,106,320,200,22,14,0.5,75,710,3,0,0,27
XLarge,XLarge,New York Style,1-Topping,Bacon Strip Crumble,per serving,21,90,50,6,2,0,20,380,1,0,1,8
XLarge,XLarge,New York Style,1-Topping,Banana Peppers,per serving,19,5,0,0,0,0,0,280,1,0,0,0
XLarge,XLarge,New York Style,1-Topping,Beef Crumble,per serving,31,100,80,9,3.5,0,30,340,0,0,0,4
XLarge,XLarge,New York Style,1-Topping,Black Olives,per serving,19,30,25,2.5,0,0,0,150,1,1,0,0
XLarge,XLarge,New York Style,1-Topping,Cheddar Cheese,per serving,17,60,45,5,3.5,0,15,135,0,0,0,4
XLarge,XLarge,New York Style,1-Topping,Chicken,per serving,33,40,10,1,0,0,25,130,1,0,0,7
XLarge,XLarge,New York Style,1-Topping,Feta Cheese,per serving,14,40,25,3,2,0,10,190,0,0,0,3
XLarge,XLarge,New York Style,1-Topping,Green Peppers,per serving,19,5,0,0,0,0,0,0,1,0,0,0
XLarge,XLarge,New York Style,1-Topping,Ham,per serving,28,30,10,1,0,0,10,310,1,0,0,4
XLarge,XLarge,New York Style,1-Topping,Jalapeno Peppers,per serving,19,5,0,0,0,0,0,300,1,0,0,0
XLarge,XLarge,New York Style,1-Topping,Mushrooms,per serving,31,5,0,0,0,0,0,0,1,0,1,1
XLarge,XLarge,New York Style,1-Topping,Onions,per serving,19,10,0,0,0,0,0,0,2,0,1,0
XLarge,XLarge,New York Style,1-Topping,Pepperoni,per serving,16,70,60,6,2.5,0,15,300,1,0,0,3
XLarge,XLarge,New York Style,1-Topping,Extra-Large Pepperoni,per serving,19,90,70,8,3,0,15,320,1,0,0,3
XLarge,XLarge,New York Style,1-Topping,Philly Steak,per serving,24,35,15,2,1,0,10,270,1,0,0,3
XLarge,XLarge,New York Style,1-Topping,Pineapple,per serving,31,20,0,0,0,0,0,0,5,0,5,0
XLarge,XLarge,New York Style,1-Topping,Provolone Cheese,per serving,17,50,35,4,2.5,0,15,80,1,0,0,4
XLarge,XLarge,New York Style,1-Topping,Roasted Red Pepper,per serving,19,5,0,0,0,0,0,0,1,0,0,0
XLarge,XLarge,New York Style,1-Topping,Salami,per serving,40,110,80,8,3,0,25,460,3,0,0,6
XLarge,XLarge,New York Style,1-Topping,Sausage,per serving,31,90,70,7,2.5,0,20,410,1,0,0,5
XLarge,XLarge,New York Style,1-Topping,Shredded Parmesan Asiago,per serving,12,50,30,3.5,2.5,0,10,180,1,0,0,4
XLarge,XLarge,New York Style,1-Topping,Spinach,per serving,9,0,0,0,0,0,0,5,0,0,0,0
XLarge,XLarge,New York Style,1-Topping,Tomatoes,per serving,24,5,0,0,0,0,0,0,1,0,1,0
XLarge,XLarge,New York Style,1-Topping,White Processed Cheddar Cheese,per serving,21,70,50,6,4,0,20,300,1,0,0,4
XLarge,XLarge,New York Style,1-Topping,Donair Meat*,per serving,98,260,160,18,7,1,50,880,11,1,1,12
XLarge,XLarge,New York Style,1-Topping,Green Olives*,per serving,19,20,15,1.5,0,0,0,310,1,1,0,0
Feast Pizzas,Small,Hand Tossed,Feast,BBQ Chicken Bacon,1/6 of pizza,95,230,70,8,4,0,25,440,28,1,3,11
Feast Pizzas,Medium,Hand Tossed,Feast,BBQ Chicken Bacon,1/8 of pizza,101,240,80,9,4.5,0,25,480,28,1,4,12
Feast Pizzas,Large,Hand Tossed,Feast,BBQ Chicken Bacon,1/8 of pizza,137,330,100,12,6,0.5,35,630,38,2,6,16
Feast Pizzas,XLarge,Hand Tossed,Feast,BBQ Chicken Bacon,1/10 of pizza,145,350,110,13,6,0.5,35,680,40,2,6,17
Feast Pizzas,Small,Hand Tossed,Feast,Buffalo Chicken,1/3 of pizza,179,460,150,17,9,1,55,1230,52,2,3,24
Feast Pizzas,Medium,Hand Tossed,Feast,Buffalo Chicken,1/4 of pizza,186,490,180,20,11,1,65,1240,51,2,3,26
Feast Pizzas,Large,Hand Tossed,Feast,Buffalo Chicken,1/4 of pizza,247,640,220,25,13,1.5,80,1620,69,3,4,34
Feast Pizzas,XLarge,Hand Tossed,Feast,Buffalo Chicken,1/5 of pizza,257,670,240,26,14,1.5,85,1690,72,3,4,35
Feast Pizzas,Small,Hand Tossed,Feast,Canadian,1/6 of pizza,102,230,80,9,4,0,25,440,26,2,2,12
Feast Pizzas,Medium,Hand Tossed,Feast,Canadian,1/8 of pizza,106,240,90,10,4.5,0,25,470,26,2,2,13
Feast Pizzas,Large,Hand Tossed,Feast,Canadian,1/8 of pizza,144,330,110,13,6,0.5,35,630,35,2,2,17
Feast Pizzas,XLarge,Hand Tossed,Feast,Canadian,1/10 of pizza,153,350,130,14,7,0.5,40,690,37,2,2,18
Feast Pizzas,Small,Hand Tossed,Feast,Chicken Bacon Alfredo,1/6 of pizza,96,240,90,10,5,0.5,30,380,25,1,1,12
Feast Pizzas,Medium,Hand Tossed,Feast,Chicken Bacon Alfredo,1/8 of pizza,105,260,100,12,6,0.5,35,430,25,1,1,13
Feast Pizzas,Large,Hand Tossed,Feast,Chicken Bacon Alfredo,1/8 of pizza,140,340,140,15,8,1,45,560,34,2,2,17
Feast Pizzas,XLarge,Hand Tossed,Feast,Chicken Bacon Alfredo,1/10 of pizza,148,360,150,16,9,1,45,590,36,2,2,18
Feast Pizzas,Small,Hand Tossed,Feast,Chicken Bacon Ranch,1/6 of pizza,91,240,100,11,4,0,20,370,25,1,1,10
Feast Pizzas,Medium,Hand Tossed,Feast,Chicken Bacon Ranch,1/8 of pizza,98,260,110,13,4.5,0.5,25,420,25,1,1,11
Feast Pizzas,Large,Hand Tossed,Feast,Chicken Bacon Ranch,1/8 of pizza,131,350,150,17,6,0.5,30,550,33,1,2,14
Feast Pizzas,XLarge,Hand Tossed,Feast,Chicken Bacon Ranch,1/10 of pizza,138,360,160,18,6,0.5,35,580,35,1,2,15
Feast Pizzas,Small,Hand Tossed,Feast,Deluxe,1/6 of pizza,100,220,70,8,3,0,20,350,26,2,2,10
Feast Pizzas,Medium,Hand Tossed,Feast,Deluxe,1/8 of pizza,104,220,70,8,3.5,0,20,370,26,2,2,10
Feast Pizzas,Large,Hand Tossed,Feast,Deluxe,1/8 of pizza,144,300,100,11,5,0,25,510,36,2,2,14
Feast Pizzas,XLarge,Hand Tossed,Feast,Deluxe,1/10 of pizza,152,320,110,12,5,0.5,30,550,37,2,3,15
Feast Pizzas,Small,Hand Tossed,Feast,Donair Pizza*,1/6 of pizza,104,220,60,7,3,0,15,340,30,1,4,10
Feast Pizzas,Medium,Hand Tossed,Feast,Donair Pizza*,1/8 of pizza,107,230,60,7,3,0,20,350,29,1,4,11
Feast Pizzas,Large,Hand Tossed,Feast,Donair Pizza*,1/8 of pizza,147,310,90,10,4.5,0.5,25,480,40,2,6,15
Feast Pizzas,XLarge,Hand Tossed,Feast,Donair Pizza*,1/10 of pizza,154,320,90,10,4.5,0.5,25,490,42,2,7,15
Feast Pizzas,Small,Hand Tossed,Feast,ExtravaganZZa,1/6 of pizza,120,260,100,11,5,0,30,510,27,2,2,13
Feast Pizzas,Medium,Hand Tossed,Feast,ExtravaganZZa,1/8 of pizza,129,270,110,12,5,0,35,550,27,2,2,15
Feast Pizzas,Large,Hand Tossed,Feast,ExtravaganZZa,1/8 of pizza,178,380,150,16,7,0.5,45,760,37,3,3,20
Feast Pizzas,XLarge,Hand Tossed,Feast,ExtravaganZZa,1/10 of pizza,189,400,160,17,8,0.5,50,840,39,3,3,21
Feast Pizzas,Small,Hand Tossed,Feast,Hawaiian,1/6 of pizza,105,220,60,7,3.5,0,20,430,27,2,3,12
Feast Pizzas,Medium,Hand Tossed,Feast,Hawaiian,1/8 of pizza,110,230,60,7,3.5,0,20,460,27,2,3,12
Feast Pizzas,Large,Hand Tossed,Feast,Hawaiian,1/8 of pizza,151,310,90,10,5,0.5,30,630,37,2,4,17
Feast Pizzas,XLarge,Hand Tossed,Feast,Hawaiian,1/10 of pizza,159,320,90,10,5,0.5,30,680,39,2,4,18
Feast Pizzas,Small,Hand Tossed,Feast,MeatZZa,1/6 of pizza,108,250,90,10,4.5,0,30,510,26,2,1,13
Feast Pizzas,Medium,Hand Tossed,Feast,MeatZZa,1/8 of pizza,113,270,100,11,5,0,35,550,26,2,2,14
Feast Pizzas,Large,Hand Tossed,Feast,MeatZZa,1/8 of pizza,155,360,140,16,7,0.5,45,760,36,2,2,20
Feast Pizzas,XLarge,Hand Tossed,Feast,MeatZZa,1/10 of pizza,165,390,150,17,8,0.5,50,840,37,2,2,21
Feast Pizzas,Small,Hand Tossed,Feast,Pepperoni Feast,1/6 of pizza,97,240,90,9,4.5,0,25,470,26,2,1,12
Feast Pizzas,Medium,Hand Tossed,Feast,Pepperoni Feast,1/8 of pizza,100,250,90,10,5,0,25,490,26,2,1,12
Feast Pizzas,Large,Hand Tossed,Feast,Pepperoni Feast,1/8 of pizza,137,340,120,14,7,0.5,35,670,35,2,2,17
Feast Pizzas,XLarge,Hand Tossed,Feast,Pepperoni Feast,1/10 of pizza,144,360,130,15,7,0.5,35,720,37,2,2,18
Feast Pizzas,Small,Hand Tossed,Feast,Philly Steak,1/6 of pizza,90,210,70,7,3.5,0,20,470,26,1,1,10
Feast Pizzas,Medium,Hand Tossed,Feast,Philly Steak,1/8 of pizza,94,220,70,8,4,0,25,500,25,1,1,11
Feast Pizzas,Large,Hand Tossed,Feast,Philly Steak,1/8 of pizza,128,290,90,10,5,0.5,30,640,34,2,2,14
Feast Pizzas,XLarge,Hand Tossed,Feast,Philly Steak,1/10 of pizza,135,310,100,11,6,0.5,35,670,36,2,2,15
Feast Pizzas,Small,Hand Tossed,Feast,6 Cheese,1/3 of pizza,170,440,140,16,8,1,40,790,52,3,3,21
Feast Pizzas,Medium,Hand Tossed,Feast,6 Cheese,1/4 of pizza,183,490,180,20,11,1,55,890,51,3,3,25
Feast Pizzas,Large,Hand Tossed,Feast,6 Cheese,1/4 of pizza,248,650,230,26,14,1.5,70,1200,70,4,5,33
Feast Pizzas,XLarge,Hand Tossed,Feast,6 Cheese,1/5 of pizza,262,690,250,27,15,1.5,75,1260,73,5,5,35
Feast Pizzas,Small,Hand Tossed,Feast,Spinach & Feta,1/6 of pizza,85,210,70,7,4,0,20,340,25,1,1,10
Feast Pizzas,Medium,Hand Tossed,Feast,Spinach & Feta,1/8 of pizza,88,220,70,8,4.5,0,20,370,25,1,1,10
Feast Pizzas,Large,Hand Tossed,Feast,Spinach & Feta,1/8 of pizza,121,300,100,11,6,0.5,30,500,34,2,1,14
Feast Pizzas,XLarge,Hand Tossed,Feast,Spinach & Feta,1/10 of pizza,126,310,100,12,6,0.5,30,510,35,2,1,15
Feast Pizzas,Small,Hand Tossed,Feast,Pacific Veggie,1/6 of pizza,112,200,60,6,3,0,15,360,27,2,2,10
Feast Pizzas,Medium,Hand Tossed,Feast,Pacific Veggie,1/8 of pizza,115,210,60,7,3.5,0,15,380,27,2,2,10
Feast Pizzas,Large,Hand Tossed,Feast,Pacific Veggie,1/8 of pizza,157,280,80,9,4.5,0.5,25,520,36,3,3,14
Feast Pizzas,XLarge,Hand Tossed,Feast,Pacific Veggie,1/10 of pizza,163,300,90,10,4.5,0.5,25,540,38,3,3,14
Feast Pizzas,Small,Hand Tossed,Feast,Veggie,1/6 of pizza,104,190,50,5,2.5,0,10,280,27,2,2,9
Feast Pizzas,Medium,Hand Tossed,Feast,Veggie,1/8 of pizza,108,190,50,6,2.5,0,10,290,26,2,2,9
Feast Pizzas,Large,Hand Tossed,Feast,Veggie,1/8 of pizza,147,270,70,8,3.5,0,15,400,36,2,3,12
Feast Pizzas,XLarge,Hand Tossed,Feast,Veggie,1/10 of pizza,153,280,70,8,3.5,0,15,410,37,3,3,13
Feast Pizzas - New York Style,Medium,New York Style,Feast,BBQ Chicken Bacon,1/3 of pizza (2 slices),219,570,220,25,12,0.5,75,1280,56,3,11,31
Feast Pizzas - New York Style,Large,New York Style,Feast,BBQ Chicken Bacon,1/6 of pizza (1 slice),145,370,150,16,8,0,50,860,36,2,7,20
Feast Pizzas - New York Style,XLarge,New York Style,Feast,BBQ Chicken Bacon,1/6 of pizza (1 slice),196,510,190,22,11,0,65,1130,51,2,10,27
Feast Pizzas - New York Style,Large,New York Style,Feast,Brooklyn,1/3 of pizza (2 slices),256,690,300,34,16,0.5,85,1420,63,4,5,33
Feast Pizzas - New York Style,XLarge,New York Style,Feast,Brooklyn,1/6 of pizza (1 slice),177,480,210,23,11,0,55,970,45,3,3,23
Feast Pizzas - New York Style,Medium,New York Style,Feast,Canadian,1/3 of pizza (2 slices),226,580,240,26,13,0,75,1320,51,3,4,34
Feast Pizzas - New York Style,Large,New York Style,Feast,Canadian,1/6 of pizza (1 slice),151,380,160,18,9,0,50,890,32,2,3,23
Feast Pizzas - New York Style,XLarge,New York Style,Feast,Canadian,1/6 of pizza (1 slice),205,520,220,24,12,0,65,1210,46,3,4,31
Feast Pizzas - New York Style,Medium,New York Style,Feast,Chicken Bacon Alfredo,1/3 of pizza (2 slices),241,640,290,32,18,1,105,1220,49,2,3,37
Feast Pizzas - New York Style,Large,New York Style,Feast,Chicken Bacon Alfredo,1/6 of pizza (1 slice),158,420,190,22,12,0.5,70,820,31,2,2,25
Feast Pizzas - New York Style,XLarge,New York Style,Feast,Chicken Bacon Alfredo,1/6 of pizza (1 slice),213,570,260,29,16,0.5,95,1090,45,2,3,33
Feast Pizzas - New York Style,Medium,New York Style,Feast,Chicken Bacon Ranch,1/3 of pizza (2 slices),228,660,340,37,14,0.5,80,1240,48,2,3,32
Feast Pizzas - New York Style,Large,New York Style,Feast,Chicken Bacon Ranch,1/6 of pizza (1 slice),149,430,230,25,10,0,55,830,31,2,2,21
Feast Pizzas - New York Style,XLarge,New York Style,Feast,Chicken Bacon Ranch,1/6 of pizza (1 slice),200,580,290,33,13,0.5,70,1100,44,2,3,28
Feast Pizzas - New York Style,Medium,New York Style,Feast,Deluxe,1/3 of pizza (2 slices),100,220,70,8,3,0,20,350,26,2,2,10
Feast Pizzas - New York Style,Large,New York Style,Feast,Deluxe,1/6 of pizza (1 slice),104,220,70,8,3.5,0,20,370,26,2,2,10
Feast Pizzas - New York Style,XLarge,New York Style,Feast,Deluxe,1/6 of pizza (1 slice),144,300,100,11,5,0,25,510,36,2,2,14
Feast Pizzas - New York Style,Medium,New York Style,Feast,Donair Pizza*,1/6 of pizza (1 slice),152,380,160,17,8,1,45,820,37,2,8,17
Feast Pizzas - New York Style,Large,New York Style,Feast,Donair Pizza*,1/6 of pizza (1 slice),200,500,210,23,10,1,65,1100,48,2,10,23
Feast Pizzas - New York Style,XLarge,New York Style,Feast,Donair Pizza*,1/6 of pizza (1 slice),265,660,270,30,13,1.5,80,1420,66,3,14,31
Feast Pizzas - New York Style,Medium,New York Style,Feast,ExtravaganZZa,1/6 of pizza (1 slice),120,260,100,11,5,0,30,510,27,2,2,13
Feast Pizzas - New York Style,Large,New York Style,Feast,ExtravaganZZa,1/6 of pizza (1 slice),129,270,110,12,5,0,35,550,27,2,2,15
Feast Pizzas - New York Style,XLarge,New York Style,Feast,ExtravaganZZa,1/6 of pizza (1 slice),178,380,150,16,7,0.5,45,760,37,3,3,20
Feast Pizzas - New York Style,Medium,New York Style,Feast,Hawaiian,1/3 of pizza (2 slices),233,510,170,19,10,0,60,1140,54,3,7,30
Feast Pizzas - New York Style,Large,New York Style,Feast,Hawaiian,1/6 of pizza (1 slice),156,340,120,13,7,0,40,770,35,2,5,20
Feast Pizzas - New York Style,XLarge,New York Style,Feast,Hawaiian,1/6 of pizza (1 slice),213,460,160,17,9,0,55,1050,49,3,7,27
Feast Pizzas - New York Style,Medium,New York Style,Feast,MeatZZa,1/3 of pizza (2 slices),243,620,280,31,15,0.5,90,1620,51,3,4,35
Feast Pizzas - New York Style,Large,New York Style,Feast,MeatZZa,1/6 of pizza (1 slice),162,410,190,21,10,0,60,1090,32,2,2,24
