Category,Item,Peanuts,Tree Nuts,Sesame,Milk,Eggs,Fish,Crustaceans,Shellfish,Soy,Wheat,Mustard,Sulphites,Gluten
PIZZA CRUSTS,YELLOW CORN MEAL,,,,MC,MC,,,,MC,MC,,,MC
PIZZA CRUSTS,CRUST (HAND TOSSED),,,,C,,,,,MC,C,,,C
PIZZA CRUSTS,CRUST (THIN CRUST),,,,MC,,,,,C,C,,,C
PIZZA CRUSTS,CRUST (GLUTEN FREE),,,,MC,,,,,MC,,,,
PIZZA CRUSTS,CRUST (PAN),,,,C,,,,,C,C,,,C
PIZZA CRUSTS,CRUST (WHOLE GRAIN),,,,C,,,,,C,C,,,C
PIZZA SAUCES,PIZZA SAUCE,,,,MC,,,,,C,,,MC,
PIZZA SAUCES,BBQ SAUCE,,,,,,MC,,,C,MC,C,C,
PIZZA SAUCES,BUTTERMILK RANCH,,MC,MC,C,C,MC,MC,MC,MC,MC,MC,MC,MC
PIZZA SAUCES,ALFREDO SAUCE,,,,C,,,,,C,C,,,C
PIZZA SAUCES,GARLIC PARMESAN SAUCE,,MC,MC,C,C,MC,MC,MC,MC,MC,MC,MC,MC
PIZZA SAUCES,HEARTY MARINARA SAUCE,,,,C,,,,,MC,,,C,
TOPPINGS,ANCHOVIES,,,,,,C,,,,,,,
TOPPINGS,BACON STRIP CRUMBLE,,,,,,,,,MC,,,,
TOPPINGS,HOT BANANA PEPPERS,,,,,,,,,,,,C,
TOPPINGS,BEEF CRUMBLE,,,,,,,,,C,,,,
TOPPINGS,SALAMI,,,,MC,,,,,MC,C,,,C
TOPPINGS,CHICKEN (GRILLED),,,,MC,,,,,MC,MC,MC,C,MC
TOPPINGS,GREEN PEPPERS,,,,,,,,,,,,,
TOPPINGS,HAM,,,,,,,,,,,,,
TOPPINGS,LIQUID EGG,,,,,C,,,,,,,,
TOPPINGS,MUSHROOMS,,,,,,,,,,,,,
TOPPINGS,OLIVES (BLACK),,,,,,,,,,,,,
TOPPINGS,DONAIR SAUCE,,,,C,,,,,MC,MC,MC,MC,
TOPPINGS,DONAIR MEAT,,,,MC,,,,,MC,C,MC,C,C
TOPPINGS,OLIVES (GREEN),,,,,,,,,,,,,
TOPPINGS,ONIONS,,,,,,,,,,,,,
TOPPINGS,OREGANO,,,MC,MC,MC,,,,MC,MC,MC,,
TOPPINGS,BROOKLYN PEPPERONI,,,,MC,,,,,MC,MC,C,,MC
TOPPINGS,PEPPERONI,,,,MC,,,,,MC,MC,C,,MC
TOPPINGS,PHASE OIL (BUTTER FLAVOURED OIL),,,,,,,,,C,,,,
TOPPINGS,PHILLY STEAK PIZZA TOPPING,,,,,,,,,C,,,C,
TOPPINGS,PINEAPPLE,,,,,,,,,,,,,
TOPPINGS,ITALIAN SAUSAGE,,,,,,,,,,,,,
TOPPINGS,TOMATOES,,,,,,,,,,,,,
TOPPINGS,CRUSHED RED PEPPER PACKETS,,,MC,,,,,,,,,,
TOPPINGS,SPINACH,,,,,,,,,,,,,
TOPPINGS,ROASTED RED PEPPERS,,,,,,,,,,,,,
TOPPINGS,JALAPEÑO PEPPERS,,,,,,,,,,,,C,
BREADS,BREADSTICKS,,,MC,C,MC,,,,C,C,MC,,C
BREADS,CINNA STIX,,,MC,C,MC,,,,C,C,MC,,C
BREADS,CHEESY BREAD,,,MC,C,MC,,,,C,C,MC,,C
BREADS,CHEESY GARLIC FINGERS,,,,C,MC,,,,C,C,,,C
BREADS,BACON GARLIC FINGERS,,,,C,MC,,,,C,C,MC,,C
BREADS,PARMESAN BREAD BITES,,,MC,C,MC,,,,C,C,,,C
BREADS,STUFFED CHEESY BREAD - CHEESE,,,MC,C,,,,,C,C,,,C
BREADS,STUFFED CHEESY BREAD - PEPPERONI,,,MC,C,,,,,C,C,,,C
BREADS,STUFFED CHEESY BREAD - PHILLY STEAK,,,MC,C,,,,,C,C,,,C
BREADS,STUFFED CHEESY BREAD - BACON JALAPEÑO,,,MC,C,,,,,C,C,,,C
BREADS,STUFFED CHEESY BREAD - SPINACH & FETA,,,MC,C,,,,,C,C,,,C
