Item,Peanuts,Tree Nuts,Sesame,Milk,Eggs,Fish,Crustaceans,Shellfish,Soy,Wheat,Mustard,Sulphites,Gluten
Hawaiian Feast,,,,C,,,,,,C,,,C
MeatZZa Feast,,,,C,,,,,,C,,,C
Pepperoni Feast,,,,C,,,,,,C,,,C
Philly Steak Feast,,,,C,,,,,,C,,,C
Veggie Feast,,,,C,,,,,,C,,,C
Pacific Veggie Feast,MC,,,C,,,,,MC,C,,,C
Spinach & Feta Feast,,,,C,,,,,,C,,,C
--- BREAKFAST PIZZA ---,,,,,,,,,,,,
Ham & Bacon,,,,C,C,,,,MC,C,,,C
Veggie,,,,C,C,,,,MC,C,,,
--- DESSERTS ---,,,,,,,,,,,,
Chocolate Lava Crunch Cake,MC,MC,,C,C,,,,MC,C,,,C
Marbled Cookie Brownie,,,,,C,C,,,MC,C,,,C
Cinna Bites,MC,,,C,,,,,MC,C,,,C
