Category,Menu Item,Serving Size,Amount (g),Calories (kcal),Fat (g),Saturated Fat (g),Trans Fat (g),Cholesterol (mg),Sodium (mg),Carbohydrates (g),Dietary Fibre (g),Sugar (g),Protein (g)
SAUCES,BBQ,1 serving,28,40,0.2,0.00,0.0,0,300,9.0,1.0,7.0,0.5
SAUCES,Honey Mustard,1 serving,28,60,1.0,0.10,0.0,0,70,14.0,1.0,12.0,1.0
SAUCES,Honey Dill,1 serving,28,140,11.0,1.00,0.1,10,140,10.0,0.0,6.0,0.2
SAUCES,Sweet and Sour,1 serving,28,45,0.0,0.00,0.0,0,60,10.0,0.0,9.0,0.1
SAUCES,Sweet Thai Chilli,1 serving,28,50,0.0,0.00,0.0,0,220,12.0,0.0,10.0,0.1
SAUCES,Spicy Mayo,1 serving,28,168,17.7,1.40,0.1,14,149,0.9,0.0,0.0,0.4
SAUCES,Mango Habanero,1 serving,28,50,0.1,0.00,0.0,0,140,13.0,0.0,9.0,0.1
SAUCES,EH Sauce,1 serving,28,140,14.0,1.00,0.1,0,310,3.0,0.0,2.0,0.4
SAUCES,MB Sauce,1 serving,28,150,14.0,1.00,0.1,10,220,5.0,0.0,5.0,0.3
SAUCES,Sweet Heat,1 serving,28,82,0.2,0.09,0.0,0,220,20.1,0.0,18.2,0.1
SAUCES,Ranch,1 serving,28,143,14.3,1.20,0.1,12,226,2.4,0.0,2.4,0.4
DESSERTS,Strawberry Pie,1 serving,82,276,16.0,7.30,0.1,10,250,32.0,1.0,10.0,3.0
DESSERTS,Chocolate Chunk Cookie,1 serving,57,260,11.0,4.50,0.0,10,170,39.0,1.0,22.0,4.0
DESSERTS,Apple Pies,1 serving,82,236,4.10,5.30,0.1,0,250,29.0,1.0,8.0,2.0
DESSERTS,Caramilk Chocolate Cake Cup,1 container,85,300,18.00,11.00,0.4,50,200,35.0,1.0,26.0,3.0
DESSERTS,Banana Pudding,1 container,118,235,11.30,10.40,0.000,2,248,31.0,0.4,21.0,2.4
