Category,Product Name,Serving Size (g),Weight Per Slice (g),Serving Size,Calories (Cals),Protein (g),Carbs (g),Fibre (g),Sugars (g),Total Fat (g),Sat. Fat (g),Trans Fat (g),Cholesterol (mg),Sodium (mg),Potassium (% DV),Calcium (% DV),Iron (% DV)
Large,Mediterranean Vegetarian Pizza,,,Per slice,260,13,31,2,5,10,5,0.2,25,730,,20%,20%
Large,Creamy Garlic Pizza,,,Per slice,290,11,29,2,2,14,4.5,0.3,20,380,,20%,15%
Large,Pesto Amore Pizza,,,Per slice,250,13,29,4,4,10,4,0.2,25,410,,20%,10%
Large,Plant-Based Pepperoni Pizza,,,Per slice,230,11,30,2,3,8,3.5,0.2,15,550,4%,15%,11%
Large,Creamy Mushroom Florentine Pizza,,,Per slice,,,,,,,,,,,,,
Large,Large Classic Stuffed Crust Pizza,,,Per Slice,320,45,334,6,63,57,5,3,857,8989,,47%,119%
Large,Large Dill Pickle Cheese Stuffed Crust Pizza,,,Per Slice,303,56,337,6,63,56,10,3,857,8950,,45%,120%
Large,Large Spicy Habanero Cheese Stuffed Crust Pizza,,,Per Slice,303,56,334,6,63,56,5,3,857,8926,,45%,120%
X-Large,X-Large Donair Pizza,,,Per Slice,284,13,38,0,7,9,4,0,30,499,,11%,21%
X-Large,Pepperoni Pizza,,,Per slice,260,12,32,2,4,9,4,0.3,20,620,4%,13%,13%
X-Large,Ultimate Pepperoni Pizza,,,Per slice,280,14,33,2,5,11,45,0.2,30,780,,15%,15%
X-Large,Meat Supreme Pizza,,,Per slice,310,16,33,2,4,13,5,0.2,40,950,,15%,20%
X-Large,Tropical Hawaiian Pizza,,,Per slice,280,13,34,2,6,11,45,0.2,30,710,,15%,15%
X-Large,Canadian Eh! Pizza,,,Per slice,280,14,33,2,4,11,45,0.2,35,750,,15%,20%
X-Large,Buffalo Chicken Pizza,,,Per slice,280,13,32,2,4,10,4,0.2,25,750,,15%,15%
X-Large,Spicy BBQ Chicken Pizza,,,Per slice,270,14,37,2,8,7,3,0.2,25,720,,15%,15%
X-Large,Classic Super Pizza,,,Per slice,260,13,33,2,5,9,4,0.2,30,650,,15%,20%
X-Large,Bacon Double Cheeseburger Pizza,,,Per slice,290,14,33,1,4,11,45,0.2,25,710,,15%,20%
X-Large,Chicken Bruschetta,,,Per slice,280,16,34,2,5,9,4,0.2,30,750,,20%,15%
X-Large,Sausage Mushroom Melt Pizza,,,Per slice,300,13,31,1,3,14,4,0.3,25,690,,15%,15%
X-Large,Hot Honey,,,Per slice,,,,,,,,,,,,,
X-Large,Butter Chicken Pizza,,,Per slice,,,,,,,,,,,,,
X-Large,Classic Cheese Pizza,,,Per Slice,230,11,32,2,4,7,3,0.2,15,520,3%,13%,11%
X-Large,Garden Veggie Pizza,,,Per Slice,220,12,32,5,4,6,3,0.2,20,370,,15%,15%
X-Large,Mediterranean Vegetarian Pizza,,,Per Slice,280,13,35,2,5,10,5,0.2,25,810,,20%,20%
X-Large,Creamy Garlic Pizza,,,Per Slice,300,12,32,2,3,14,45,0.3,15,420,,20%,15%
X-Large,Pesto Amore Pizza,,,Per Slice,260,13,32,5,4,10,4,0.2,25,430,,20%,15%
X-Large,Plant-Based Pepperoni Pizza,,,Per Slice,250,12,33,2,4,8,3,0.2,15,580,4%,13%,13%
X-Large,Creamy Mushroom Florentine Pizza,,,Per Slice,,,,,,,,,,,,,
X-Large,X-Large Classic Stuffed Crust Pizza,,,Per Slice,300,14,32,1,4,13,6,0,35,730,,28%,19%
X-Large,X-Large Dill Pickle Cheese Stuffed Crust Pizza,,,Per Slice,280,25,35,1,4,11,11,1,35,686,,26%,19%
X-Large,X-Large Spicy Habanero Cheese Stuffed Crust Pizza,,,Per Slice,280,25,32,1,4,11,5,0,35,662,,26%,19%
XXL,XXL Cheese Pizza,,,Per Slice,450,21,63,3,7,13,6,0.4,30,1010,6%,27%,22%
XXL,XXL Pepperoni Pizza,,,Per Slice,520,24,63,3,7,19,8,0.5,45,1250,7%,27%,25%
XXL,XXL Classic Stuffed Crust Pizza,,,Per Slice,498,16,48,2,5,28,8,0,35,1227,,28%,28%
XXL,XXL Dill Pickle Cheese Stuffed Crust Pizza,,,Per Slice,430,41,53,2,5,17,18,1,55,1057,,41%,29%
XXL,XXL Spicy Habanero Cheese Stuffed Crust Pizza,,,Per Slice,430,41,49,2,5,17,9,0,55,1017,,41%,29%
Stuffed Crust,Medium Classic Stuffed Crust Pizza,,,Per Slice,251,13,26,1,3,11,5,0,31,618,,26%,15%
Stuffed Crust,Medium Dill Pickle Cheese Stuffed Crust Pizza,,,Per Slice,235,24,28,1,3,10,11,1,31,588,,23%,15%
Stuffed Crust,Medium Spicy Habanero Cheese Stuffed Crust Pizza,,,Per Slice,185,8,25,1,3,6,3,0,19,445,,15%,15%
Stuffed Crust,Large Classic Stuffed Crust Pizza,,,Per Slice,320,45,334,6,63,57,5,3,857,8989,,47%,119%
Stuffed Crust,Large Dill Pickle Cheese Stuffed Crust Pizza,,,Per Slice,303,56,337,6,63,56,10,3,857,8950,,45%,120%
Stuffed Crust,Large Spicy Habanero Cheese Stuffed Crust Pizza,,,Per Slice,303,56,334,6,63,56,5,3,857,8926,,45%,120%
Stuffed Crust,X-Large Classic Stuffed Crust Pizza,,,Per Slice,300,14,32,1,4,13,6,0,35,730,,28%,19%
Stuffed Crust,X-Large Dill Pickle Cheese Stuffed Crust Pizza,,,Per Slice,280,25,35,1,4,11,11,1,35,686,,26%,19%
Stuffed Crust,X-Large Spicy Habanero Cheese Stuffed Crust Pizza,,,Per Slice,280,25,32,1,4,11,5,0,35,662,,26%,19%
Stuffed Crust,XXL Classic Stuffed Crust Pizza,,,Per Slice,498,16,48,2,5,28,8,0,35,1227,,28%,28%
Stuffed Crust,XXL Dill Pickle Cheese Stuffed Crust Pizza,,,Per Slice,430,41,53,2,5,17,18,1,55,1057,,41%,29%
Stuffed Crust,XXL Spicy Habanero Cheese Stuffed Crust Pizza,,,Per Slice,430,41,49,2,5,17,9,0,55,1017,,41%,29%
Gourmet,Gourmet Thin Creamy Mushroom Florentine Pizza,,,Per Slice,,,,,,,,,,,,,
Gourmet,Gourmet Thin Hot Honey Pizza,,,Per Slice,,,,,,,,,,,,,
Gourmet,Gourmet Thin Buffalo Chicken Pizza,,,Per Slice,,,,,,,,,,,,,
Gourmet,Gourmet Thin Pesto Amore Pizza,,,Per Slice,180,8,22,1,3,6,25,0.1,15,380,,10%,10%
Gourmet,Gourmet Thin Chicken Bruschetta Pizza,,,Per Slice,190,12,23,1,3,6,25,0.1,25,510,,15%,10%
Walk-In,Bacon Double Cheeseburger Pizza,,,Per Slice,700,34,80,3,10,26,12,0.5,65,1710,,40%,40%
Walk-In,Big Cheese,,,Per Slice,580,29,78,3,10,17,8,0.5,50,1380,,40%,40%
Walk-In,Canadian Eh! Pizza,,,Per Slice,710,36,81,4,11,27,12,0.5,85,1870,,40%,45%
Walk-In,Classic Super/All Dressed,,,Per Slice,660,33,81,4,11,23,10,0.5,75,1660,,40%,45%
Walk-In,Garden Veggie Pizza,,,Per Slice,560,30,77,11,11,16,8,0.5,50,950,,40%,30%
Walk-In,Pepperoni Pizza,,,Per Slice,670,33,78,4,10,25,11,0.5,70,1680,,40%,40%
Walk-In,Spicy BBQ Chicken Pizza,,,Per Slice,680,35,94,5,21,18,8,0.5,70,1890,,45%,40%
Walk-In,Plant-Based Pepperoni Slice,,,Per Slice,,,,,,,,,,,,,
Walk-In,Tropical Hawaiian Pizza,,,Per Slice,690,33,82,4,14,26,11,0.5,70,1720,,40%,40%
Alternative,Cauli Pesto,,,0,190,9,20,2,2,8,3,0.1,25,340,,15%,8%
Alternative,Gluten Free Cheese Pizza,,,0,149,5,23,3,2,5,2,0,12,343,,12%,0
Alternative,Gluten Free Pepperoni Pizza,,,0,175,7,23,3,2,7,3,0,18,438,,12%,0
Chicken,Chicken Tenders,,,,,,,,,,,,,,,,
Chicken,Classic Wings,5,,,510,40,1,0,1,38,9,0.2,225,1090,,8%,15%
Chicken,Chicken Bites,,,,,,,,,,,,,,,,
Chicken,Crispy Breaded Wings,5,,,650,40,21,2,1,47,11,0.2,165,1260,,6%,25%
Chicken,Boneless Chicken Bites,5,,,380,27,25,2,1,19,2.5,0.1,75,1060,,2%,15%
Chicken,Gluten Free Chicken Bites,5,,,350,23,36,2,1,12,1.5,0,70,510,,2%,4%
Chicken,Popcorn Chicken,0.5,,,280,15,20,0,4,16,2.5,0,15,590,,0%,6%
Chicken,Buffalo Chicken Sandwich,,,,,,,,,,,,,,,,
Chicken,Classic Chicken Sandwich,,,Per sandwich,760,24,52,4,8,52,5,0.2,35,1530,,6%,25%
Chicken,Creamy Garlic Chicken Sandwich,,,Per sandwich,760,24,51,4,8,52,4.5,0.5,35,1430,,8%,25%
Chicken,Spicy Sriracha Mayo Chicken Sandwich,,,Per sandwich,680,24,53,4,9,43,4.5,0.2,35,1650,,6%,25%
Desserts,Two-Bite Brownies,2,,,160,1,21,1,12,9,2,0,0,75,,0%,8%
Desserts,Funnel Cake Stix,,,1/4,250,2,36,0,16,12,3,0,20,220,,2%,2%
Dips,Buffalo Sauce,1,,,80,0.1,0.5,0.2,0,8,1.7,0,0,563,,,0%
Dips,Cheddar Jalapeno,,,,,,,,,,,,,,,,
Dips,Chimichurri Ranch,,,,,,,,,,,,,,,,
Dips,Creamy Dill,,,,,,,,,,,,,,,,
Dips,Creamy Garlic Sauce,1,,,180,0.2,1,0,0,19,1.5,0.3,0,160,,,0%
Dips,Honey Garlic Sauce,1,,,45,0.1,11,0,10,0,0,0,0,65,,,0%
Dips,Honey Mustard,,,,,,,,,,,,,,,,
Dips,Hot Sauce,1,,,35,0.3,6,0,4,1,0.5,0,0,590,,,0%
Dips,Italian Marinara,,,,,,,,,,,,,,,,
Dips,Mango Pineapple Chili Crisp,,,,,,,,,,,,,,,,
Dips,Peppercorn Ranch,,,,,,,,,,,,,,,,
Dips,Sriracha Creamy Garlic,,,,,,,,,,,,,,,,
Dips,Sweet Chili Thai Sauce,1,,,50,0.1,13,0,11,0,0,0,0,210,,,0%
Dips,Texas BBQ Sauce,1,,,50,0.3,11,0,9,2,0,0,0,240,,,2%
Dips,Sweet & Spicy Bang Bang,,,,,,,,,,,,,,,,
Dips,Home Style Italian Tomato Sauce,1,,,20,0.5,3,0,2,5,0.1,0,0,138,,,2%
Dips,Mild Sauce,1,,,35,0.2,8,0,6,0,0,0,0,350,,,0%
Dips,Pesto Sauce,1,,,100,2,5,1,2,8,1.5,0,5,180,,,2%
Donair,Single Donair Wrap,,,,478,23,44,2,6,23,10,1,68,995,,7%,32%
Donair,Double Donair Wrap,,,,804,41,56,4,11,45,20,2,136,1857,,11%,49%
Donair,Single Donair Wrap Combo,,,,618,23,83,2,45,23,10,1,68,1020,,7%,32%
Donair,Double Donair Wrap Combo,,,,944,41,95,4,50,45,20,2,136,1882,,11%,49%
Donair,Donair Poutine,,,,739,25,71,4,7,41,18,1,81,2222,,3%,14%
Donair,Large Donair Poutine,,,,,,,,,,,,,,,,
