Item Name,Source URL
Creamy Chipotle Chicken McWrap - Grilled,https://www.mcdonalds.com/ca/en-ca/product/creamy-chipotle-chicken-mcwrap-grilled.html
Sweet Chili Junior Chicken,https://www.mcdonalds.com/ca/en-ca/product/sweet-chili-junior-chicken.html
McCrispy,https://www.mcdonalds.com/ca/en-ca/product/mccrispy.html
Spicy McCrispy,https://www.mcdonalds.com/ca/en-ca/product/spicy-mccrispy.html
Spicy McCrispy Bacon Deluxe,https://www.mcdonalds.com/ca/en-ca/product/spicy-mccrispy-bacon-deluxe.html
McCrispy Bacon Deluxe,https://www.mcdonalds.com/ca/en-ca/product/mccrispy-bacon-deluxe.html
Grilled Chicken Sandwich,https://www.mcdonalds.com/ca/en-ca/product/mccrispy-with-grilled-chicken.html
Bacon Deluxe Grilled Chicken Sandwich,https://www.mcdonalds.com/ca/en-ca/product/bacon-deluxe-mccrispy-sandwich-with-grilled-chicken.html
Spicy Grilled Chicken Sandwich,https://www.mcdonalds.com/ca/en-ca/product/spicy-grilled-chicken-sandwich.html
Spicy Bacon Deluxe Grilled Chicken Sandwich,https://www.mcdonalds.com/ca/en-ca/product/spicy-bacon-deluxe-grilled-chicken-sandwich.html
Spicy Habanero McChicken,https://www.mcdonalds.com/ca/en-ca/product/habanero-mcchicken-sandwich.html
McChicken,https://www.mcdonalds.com/ca/en-ca/product/mcchicken.html
4 Chicken McNuggets,https://www.mcdonalds.com/ca/en-ca/product/4-chicken-mcnuggets.html
6 Chicken McNuggets,https://www.mcdonalds.com/ca/en-ca/product/6-chicken-mcnuggets.html
10 Chicken McNuggets,https://www.mcdonalds.com/ca/en-ca/product/10-chicken-mcnuggets.html
20 Chicken McNuggets (Serves 2),https://www.mcdonalds.com/ca/en-ca/product/20-chicken-mcnuggets.html
Spicy Buffalo Chicken Poutine (Québec),https://www.mcdonalds.com/ca/en-ca/product/spicy-buffalo-chicken-poutine.html
Chicken Snack Wrap Happy Meal with Crispy Chicken,https://www.mcdonalds.com/ca/en-ca/product/happy-meal-snack-wrap-crispy.html
Spicy Buffalo Chicken Snack Wrap with Grilled Chicken,https://www.mcdonalds.com/ca/en-ca/product/spicy-buffalo-snack-wrap-grilled.html
Spicy Buffalo Chicken Snack Wrap with Crispy Chicken,https://www.mcdonalds.com/ca/en-ca/product/spicy-buffalo-snack-wrap-crispy.html
Sweet Chili McWrap - Grilled,https://www.mcdonalds.com/ca/en-ca/product/new-sweet-chili-mcwrap-grilled.html
Sweet Chili McWrap - Crispy,https://www.mcdonalds.com/ca/en-ca/product/new-sweet-chili-mcwrap-crispy.html
Chicken & Bacon McWrap - Crispy,https://www.mcdonalds.com/ca/en-ca/product/new-chicken-and-bacon-mcwrap-crispy.html
Chicken & Bacon McWrap - Grilled,https://www.mcdonalds.com/ca/en-ca/product/new-chicken-and-bacon-mcwrap-grilled.html
Ranch Chicken Snack Wrap with Grilled Chicken,https://www.mcdonalds.com/ca/en-ca/product/ranch-chicken-snack-wrap-grilled-for-relaunch.html
Ranch Chicken Snack Wrap with Crispy Chicken,https://www.mcdonalds.com/ca/en-ca/product/ranch-chicken-snack-wrap-crispy-for-relaunch.html
Strawberry Cheesecake McFlurry,https://www.mcdonalds.com/ca/en-ca/product/strawberry-cheesecake-mcflurry-regular.html
Strawberry Sundae,https://www.mcdonalds.com/ca/en-ca/product/sundae-strawberry.html
Baked Blueberry Cream Cheese Pie,https://www.mcdonalds.com/ca/en-ca/product/Baked-Blueberry-Cream-Cheese-Pie.html
Cadbury Creme Egg® McFlurry,https://www.mcdonalds.com/ca/en-ca/product/cadbury-creme-egg-mcflurry-regular.html
Hot Fudge Sundae,https://www.mcdonalds.com/ca/en-ca/product/sundae-hot-fudge.html
Hot Caramel Sundae,https://www.mcdonalds.com/ca/en-ca/product/sundae-hot-caramel.html
OREO® McFlurry,https://www.mcdonalds.com/ca/en-ca/product/mcflurry-oreo-regular-size-portion.html
SKOR® McFlurry,https://www.mcdonalds.com/ca/en-ca/product/mcflurry-dessert-crushed-skor-candy-bars-regular-size-portion.html
SMARTIES® McFlurry,https://www.mcdonalds.com/ca/en-ca/product/smarties-mcflurry-regular-size-portion.html
